	price	area	district	condominium	iptu	rooms	box
152	2800000.0	201.58	Auxiliadora	1200.0	5200.0	3	4
153	1450000.0	166.57	Bela Vista	1200.0	3100.0	3	3
154	425000.0	72.0	Bela Vista	307.0	1500.0	2	1
155	656000.0	81.5	Bela Vista	381.0	1844.0	2	1
156	170000.0	32.13	Bela Vista	140.0	320.0	1	1
157	530000.0	83.0	Auxiliadora	480.0	1100.0	2	1
158	1650000.0	199.66	Bela Vista	1600.0	3000.0	4	3
159	680000.0	84.36	Bela Vista	1000.0	1300.0	2	2
160	1100000.0	180.0	Auxiliadora	1400.0	2100.0	3	2
161	650000.0	101.0	Auxiliadora	400.0	1500.0	2	1
162	530000.0	94.09	Auxiliadora	484.0	818.0	3	1
163	398000.0	122.35	Auxiliadora	1000.0	1150.0	3	1
164	670000.0	76.0	Bela Vista	356.0	504.0	2	1
165	1880000.0	244.27	Bela Vista	1300.0	5000.0	4	4
166	1540000.0	221.26	Mont Serrat	1800.0	4500.0	4	3
167	630000.0	75.05	Mont Serrat	730.0	1650.0	2	1
168	420000.0	89.38	Mont Serrat	455.0	1000.0	2	1
169	1445000.0	140.0	Bela Vista	700.0	1900.0	3	3
170	699500.0	86.42	Bela Vista	600.0	2500.0	3	2
171	630550.0	60.41	Auxiliadora	350.0	560.0	2	1
172	2100000.0	243.28	Mont Serrat	800.0	3000.0	3	4
173	550000.0	55.61	Mont Serrat	550.0	1100.0	1	1
174	920000.0	138.0	Bela Vista	1000.0	2000.0	3	2
175	499000.0	86.5	Bela Vista	260.0	950.0	2	1
176	680000.0	86.76	Bela Vista	450.0	600.0	3	2
177	745000.0	86.0	Auxiliadora	550.0	600.0	2	2
178	1380000.0	196.79	Auxiliadora	1500.0	2000.0	3	3
179	1100000.0	134.0	Auxiliadora	1900.0	1200.0	3	2
180	610000.0	54.87	Bela Vista	1000.0	1800.0	1	1
181	250000.0	45.78	Mont Serrat	200.0	700.0	1	1
182	590000.0	82.73	Mont Serrat	1200.0	1700.0	2	1
183	595000.0	60.0	Bela Vista	500.0	1200.0	1	1
184	447000.0	78.0	Auxiliadora	351.0	1100.0	3	1
185	979000.0	140.0	Auxiliadora	650.0	1100.0	3	2
186	630000.0	106.0	Auxiliadora	400.0	1100.0	2	1
187	1900000.0	224.0	Bela Vista	1500.0	4500.0	3	4
188	620000.0	93.71	Bela Vista	380.0	1500.0	3	1
189	399000.0	45.58	Mont Serrat	450.0	1200.0	1	1
190	189000.0	62.0	Auxiliadora	376.0	528.0	1	1
191	399000.0	96.32	Auxiliadora	350.0	1000.0	3	1
